file,classification,action,reason,unique,runtime,status
.next/routes-manifest 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/server/app-paths-manifest 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/server/functions-config-manifest 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/server/interception-route-rewrite-manifest 2.js,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/server/middleware 2.js,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/server/middleware-build-manifest 2.js,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/server/middleware-manifest 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/server/middleware.js 2.map,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/server/middleware.js.nft 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/server/next-font-manifest 2.js,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/server/next-font-manifest 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/server/pages-manifest 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/server/prefetch-hints 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/server/server-reference-manifest 2.js,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/server/server-reference-manifest 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/trace-build 3,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/turbopack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/turbopack 2,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/types/cache-life.d 2.ts,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/types/cache-life.d 3.ts,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/types/root-params.d 2.ts,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/types/root-params.d 3.ts,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/types/routes.d 2.ts,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/types/routes.d 3.ts,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/types/validator 2.ts,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/types/validator 3.ts,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.vercel/node/,B — GENERATED / REBUILDABLE,Removed stale output; regenerate cleanly,1 inventoried generated files; configuration and secrets outside output preserved.,No authoritative source,Generated only,ignored
.vercel/output/,B — GENERATED / REBUILDABLE,Removed stale output; regenerate cleanly,451 inventoried generated files; configuration and secrets outside output preserved.,No authoritative source,Generated only,ignored
.vercel/output/static/betti/ betti-working.webp,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.vercel/output/static/templates/writeoffs_csv_template.csv,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
app/api/waitlist/confirm/route 2.ts,D — SUPERSEDED,Removed,Exact blob exists in older Git history; canonical replacement and current safeguards preserved.,No current required content,No,untracked
app/components/ArticleCTA.tsx,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/components/BuyButton.tsx,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/components/Callout.tsx,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/components/CsvUploader.tsx,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/components/PublicFooter 2.tsx,D — SUPERSEDED,Removed,Exact blob exists in older Git history; canonical replacement and current safeguards preserved.,No current required content,No,untracked
app/components/RuleCard.tsx,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/components/WaitlistForm.tsx,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/home/HomeAskBetti.tsx,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/home/HomeReviewInvitation.tsx,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/home/QuestionInvitation.tsx,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/home/WeeklyReview 2.tsx,D — SUPERSEDED,Removed,Exact blob exists in older Git history; canonical replacement and current safeguards preserved.,No current required content,No,untracked
app/home/WeeklyReview.tsx,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/home/home-financial-summary.ts,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/lib/account-lifecycle/notification-templates.ts,A — CANONICAL / REQUIRED,Preserved,"Active implementation, regression evidence or protected backup/DR tooling; keyword is not obsolescence",Yes,Operational/test or runtime reference,tracked
app/lib/bookkeeping/potential-writeoffs-service.ts,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/lib/mailer.js,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/lib/onboarding/historical-review.ts,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/lib/onboarding/plan-recommendation.ts,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/lib/supabaseServer.d.ts,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/lib/supabaseServer.ts,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/login/page 2.tsx,D — SUPERSEDED,Removed,Exact blob exists in older Git history; canonical replacement and current safeguards preserved.,No current required content,No,untracked
app/reports/tax-time/page 2.tsx,D — SUPERSEDED,Removed,Exact blob exists in older Git history; canonical replacement and current safeguards preserved.,No current required content,No,untracked
app/review/ApproveNotesModal.tsx,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/review/AskWriteOffsDrawer.tsx,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/review/BulkTable.tsx,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
app/review/CategorySelect.tsx,E — DEAD / UNREFERENCED,Removed,"No runtime entrypoint reaches this file; current signup, membership, Transactions, Check-in and SSR implementations supersede it.",Historical implementation remains in Git,No,tracked
backups/.env.local.20251107_1524,H — UNKNOWN / PROTECTED,Preserved,"Operator secrets, backup or CLI evidence; outside safe deletion scope",Potentially,No,ignored
backups/page.before-writeoffs-refresh.jsx,H — UNKNOWN / PROTECTED,Preserved,"Operator secrets, backup or CLI evidence; outside safe deletion scope",Potentially,No,ignored
docs/.DS_Store,B — GENERATED / REBUILDABLE,Removed,Rebuildable compiler cache or operating-system metadata.,No current required content,No,ignored
docs/BACKUP_AND_DISASTER_RECOVERY.md,A — CANONICAL / REQUIRED,Preserved,"Active implementation, regression evidence or protected backup/DR tooling; keyword is not obsolescence",Yes,No,tracked
next-env.d.ts,B — GENERATED / REBUILDABLE,Untracked and regenerated,Generated by Next.js / lockfile install,No,Build dependency,tracked
node_modules/,B — GENERATED / REBUILDABLE,Reinstalled,Generated by Next.js / lockfile install,No,Build dependency,ignored
node_modules/.bin/acorn 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/autoprefixer 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/baseline-browser-mapping 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/browserslist 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/cssesc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/esbuild 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/eslint 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/glob 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/husky 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/jiti 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/js-yaml 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/json5 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/loose-envify 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/nanoid 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/napi-postinstall 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/next 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/node-which 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/playwright 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/playwright-core 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/resolve 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/rollup 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/semver 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/sucrase 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/sucrase-node 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/tailwind 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/tailwindcss 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/tsc 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/tsserver 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/update-browserslist-db 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/vite 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/vite-node 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/vitest 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/why-is-node-running 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/.bin/yaml 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/@esbuild/darwin-arm64/bin/esbuild 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/@types/react/LICENSE 2,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/@types/react/README 2.md,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/@types/react/canary.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/@types/react/compiler-runtime.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/@types/react/experimental.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
node_modules/@types/react/global.d 2.ts,B — GENERATED / REBUILDABLE,Removed by npm ci,Dependency directory rebuilt from unchanged lockfile; numbered vendor copies absent afterward,Not project source; lockfile authoritative,Not canonical package entry,ignored
